!SOT
8049074!push ebp!RR_ebp_bfb1fa18_esp_bfb1f8dc!WM_bfb1f8d8_4_bfb1fa18!WR_esp_bfb1f8d8
8049075!push edi!RR_esp_bfb1f8d8_edi_0!WM_bfb1f8d4_4_0!WR_esp_bfb1f8d4
8049076!push esi!RR_esp_bfb1f8d4_esi_0!WM_bfb1f8d0_4_0!WR_esp_bfb1f8d0
8049077!push ebx!RR_ebx_bfb1f90a_esp_bfb1f8d0!WM_bfb1f8cc_4_bfb1f90a!WR_esp_bfb1f8cc
8049078!sub esp, 0x4!RR_esp_bfb1f8cc!WR_esp_bfb1f8c8
804907b!mov ebp, dword ptr [esp+0x18]!RM_bfb1f8e0_4_9a2303c!RR_esp_bfb1f8c8!WR_ebp_9a2303c
804907f!mov eax, dword ptr [esp+0x20]!RM_bfb1f8e8_4_bfb1f90a!RR_esp_bfb1f8c8!WR_eax_bfb1f90a
8049083!movzx edi, byte ptr [eax+0x100]!RM_bfb1fa0a_1_0!RR_eax_bfb1f90a!WR_edi_0
804908a!movzx eax, byte ptr [eax+0x101]!RM_bfb1fa0b_1_0!RR_eax_bfb1f90a!WR_eax_0
8049091!mov byte ptr [esp+0x3], al!RR_al_0_esp_bfb1f8c8!WM_bfb1f8cb_1_0
8049095!mov ebx, dword ptr [esp+0x20]!RM_bfb1f8e8_4_bfb1f90a!RR_esp_bfb1f8c8!WR_ebx_bfb1f90a
8049099!cmp dword ptr [esp+0x1c], 0x0!RM_bfb1f8e4_4_21!RR_esp_bfb1f8c8
804909e!jle 0x80490e8
80490a0!mov eax, 0x0!WR_eax_0
80490a5!mov word ptr [esp], ax!RR_ax_0_esp_bfb1f8c8!WM_bfb1f8c8_2_0
80490a9!lea edx, ptr [edi+0x1]!RR_edi_0!WR_edx_1
80490ac!movzx edx, dl!RR_dl_1!WR_edx_1
80490af!mov edi, edx!RR_edx_1!WR_edi_1
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_1!WR_edx_bfb1f90b
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f90b_1_c9!RR_edx_bfb1f90b!WR_ecx_c9
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_0!RR_cl_c9_esp_bfb1f8c8!WM_bfb1f8cb_1_c9
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_c9!RR_esp_bfb1f8c8!WR_esi_c9
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_c9!WR_esi_bfb1f9d3
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f9d3_1_61!RR_esi_bfb1f9d3!WR_eax_61
80490c4!mov byte ptr [edx], al!RR_al_61_edx_bfb1f90b!WM_bfb1f90b_1_61
80490c6!mov byte ptr [esi], cl!RR_cl_c9_esi_bfb1f9d3!WM_bfb1f9d3_1_c9
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_0!RR_esp_bfb1f8c8!WR_esi_0
80490cc!add cl, byte ptr [edx]!RM_bfb1f90b_1_61!RR_cl_c9_edx_bfb1f90b!WR_cl_2a
80490ce!movzx ecx, cl!RR_cl_2a!WR_ecx_2a
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f934_1_80!RR_ebx_bfb1f90a_ecx_2a!WR_edx_80
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a2303c_1_53!RR_dl_80_ebp_9a2303c_esi_0!WM_9a2303c_1_d3
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_0!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_1
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_1!RR_esp_bfb1f8c8!WR_edx_1
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_1_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_1!WR_edx_2
80490ac!movzx edx, dl!RR_dl_2!WR_edx_2
80490af!mov edi, edx!RR_edx_2!WR_edi_2
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_2!WR_edx_bfb1f90c
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f90c_1_3b!RR_edx_bfb1f90c!WR_ecx_3b
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_c9!RR_cl_3b_esp_bfb1f8c8!WM_bfb1f8cb_1_4
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_4!RR_esp_bfb1f8c8!WR_esi_4
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_4!WR_esi_bfb1f90e
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f90e_1_45!RR_esi_bfb1f90e!WR_eax_45
80490c4!mov byte ptr [edx], al!RR_al_45_edx_bfb1f90c!WM_bfb1f90c_1_45
80490c6!mov byte ptr [esi], cl!RR_cl_3b_esi_bfb1f90e!WM_bfb1f90e_1_3b
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_1!RR_esp_bfb1f8c8!WR_esi_1
80490cc!add cl, byte ptr [edx]!RM_bfb1f90c_1_45!RR_cl_3b_edx_bfb1f90c!WR_cl_80
80490ce!movzx ecx, cl!RR_cl_80!WR_ecx_80
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f98a_1_9d!RR_ebx_bfb1f90a_ecx_80!WR_edx_9d
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a2303d_1_75!RR_dl_9d_ebp_9a2303c_esi_1!WM_9a2303d_1_e8
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_1!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_2
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_2!RR_esp_bfb1f8c8!WR_edx_2
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_2_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_2!WR_edx_3
80490ac!movzx edx, dl!RR_dl_3!WR_edx_3
80490af!mov edi, edx!RR_edx_3!WR_edi_3
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_3!WR_edx_bfb1f90d
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f90d_1_e0!RR_edx_bfb1f90d!WR_ecx_e0
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_4!RR_cl_e0_esp_bfb1f8c8!WM_bfb1f8cb_1_e4
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_e4!RR_esp_bfb1f8c8!WR_esi_e4
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_e4!WR_esi_bfb1f9ee
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f9ee_1_b2!RR_esi_bfb1f9ee!WR_eax_b2
80490c4!mov byte ptr [edx], al!RR_al_b2_edx_bfb1f90d!WM_bfb1f90d_1_b2
80490c6!mov byte ptr [esi], cl!RR_cl_e0_esi_bfb1f9ee!WM_bfb1f9ee_1_e0
80490c8!movsx esi, word ptr [esp]!RM_bfb1f8c8_2_2!RR_esp_bfb1f8c8!WR_esi_2
80490cc!add cl, byte ptr [edx]!RM_bfb1f90d_1_b2!RR_cl_e0_edx_bfb1f90d!WR_cl_92
80490ce!movzx ecx, cl!RR_cl_92!WR_ecx_92
80490d1!movzx edx, byte ptr [ebx+ecx*1]!RM_bfb1f99c_1_22!RR_ebx_bfb1f90a_ecx_92!WR_edx_22
80490d5!xor byte ptr [ebp+esi*1], dl!RM_9a2303e_1_70!RR_dl_22_ebp_9a2303c_esi_2!WM_9a2303e_1_52
80490d9!add word ptr [esp], 0x1!RM_bfb1f8c8_2_2!RR_esp_bfb1f8c8!WM_bfb1f8c8_2_3
80490de!movsx edx, word ptr [esp]!RM_bfb1f8c8_2_3!RR_esp_bfb1f8c8!WR_edx_3
80490e2!cmp edx, dword ptr [esp+0x1c]!RM_bfb1f8e4_4_21!RR_edx_3_esp_bfb1f8c8
80490e6!jl 0x80490a9
80490a9!lea edx, ptr [edi+0x1]!RR_edi_3!WR_edx_4
80490ac!movzx edx, dl!RR_dl_4!WR_edx_4
80490af!mov edi, edx!RR_edx_4!WR_edi_4
80490b1!add edx, ebx!RR_ebx_bfb1f90a_edx_4!WR_edx_bfb1f90e
80490b3!movzx ecx, byte ptr [edx]!RM_bfb1f90e_1_3b!RR_edx_bfb1f90e!WR_ecx_3b
80490b6!add byte ptr [esp+0x3], cl!RM_bfb1f8cb_1_e4!RR_cl_3b_esp_bfb1f8c8!WM_bfb1f8cb_1_1f
80490ba!movzx esi, byte ptr [esp+0x3]!RM_bfb1f8cb_1_1f!RR_esp_bfb1f8c8!WR_esi_1f
80490bf!add esi, ebx!RR_ebx_bfb1f90a_esi_1f!WR_esi_bfb1f929
80490c1!movzx eax, byte ptr [esi]!RM_bfb1f929_1_38!RR_esi_bfb1f929!WR_eax_38
80490c4!mov byte ptr [edx], al!RR_al_38_edx_bfb1f90e!WM_bfb1f90e_1_38
