!SOT
8049300!push ebp!RR_ebp_bfec3d18_esp_bfec3bcc!WM_bfec3bc8_4_bfec3d18!WR_esp_bfec3bc8
8049301!push edi!RR_esp_bfec3bc8_edi_0!WM_bfec3bc4_4_0!WR_esp_bfec3bc4
8049302!push esi!RR_esp_bfec3bc4_esi_bfec3bfa!WM_bfec3bc0_4_bfec3bfa!WR_esp_bfec3bc0
8049303!push ebx!RR_ebx_bfec3bf4_esp_bfec3bc0!WM_bfec3bbc_4_bfec3bf4!WR_esp_bfec3bbc
8049304!sub esp, 0x4!RR_esp_bfec3bbc!WR_esp_bfec3bb8
8049307!mov ebx, dword ptr [esp+0x20]!RM_bfec3bd8_4_bfec3bfa!RR_esp_bfec3bb8!WR_ebx_bfec3bfa
804930b!mov esi, dword ptr [esp+0x18]!RM_bfec3bd0_4_90b003c!RR_esp_bfec3bb8!WR_esi_90b003c
804930f!movzx eax, byte ptr [ebx+0x101]!RM_bfec3cfb_1_0!RR_ebx_bfec3bfa!WR_eax_0
8049316!movzx ebp, byte ptr [ebx+0x100]!RM_bfec3cfa_1_0!RR_ebx_bfec3bfa!WR_ebp_0
804931d!mov byte ptr [esp+0x3], al!RR_al_0_esp_bfec3bb8!WM_bfec3bbb_1_0
8049321!mov eax, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_esp_bfec3bb8!WR_eax_21
8049325!test eax, eax!RR_eax_21
8049327!jle 0x804936e
8049329!xor eax, eax!RR_eax_21!WR_eax_0
804932b!mov word ptr [esp], ax!RR_ax_0_esp_bfec3bb8!WM_bfec3bb8_2_0
804932f!nop 
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_0!WR_edx_1
8049333!movzx edx, dl!RR_dl_1!WR_edx_1
8049336!mov ebp, edx!RR_edx_1!WR_ebp_1
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_1!WR_edx_bfec3bfb
804933a!movzx ecx, byte ptr [edx]!RM_bfec3bfb_1_c9!RR_edx_bfec3bfb!WR_ecx_c9
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_0!RR_cl_c9_esp_bfec3bb8!WM_bfec3bbb_1_c9
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_c9!RR_esp_bfec3bb8!WR_edi_c9
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_c9!WR_edi_bfec3cc3
8049348!movzx eax, byte ptr [edi]!RM_bfec3cc3_1_61!RR_edi_bfec3cc3!WR_eax_61
804934b!mov byte ptr [edx], al!RR_al_61_edx_bfec3bfb!WM_bfec3bfb_1_61
804934d!mov byte ptr [edi], cl!RR_cl_c9_edi_bfec3cc3!WM_bfec3cc3_1_c9
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_0!RR_esp_bfec3bb8!WR_edi_0
8049353!add cl, byte ptr [edx]!RM_bfec3bfb_1_61!RR_cl_c9_edx_bfec3bfb!WR_cl_2a
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_0!RR_esp_bfec3bb8!WM_bfec3bb8_2_1
804935a!movzx ecx, cl!RR_cl_2a!WR_ecx_2a
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c24_1_80!RR_ebx_bfec3bfa_ecx_2a!WR_edx_80
8049361!xor byte ptr [esi+edi*1], dl!RM_90b003c_1_53!RR_dl_80_esi_90b003c_edi_0!WM_90b003c_1_d3
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_1!RR_esp_bfec3bb8!WR_edx_1
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_1_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_1!WR_edx_2
8049333!movzx edx, dl!RR_dl_2!WR_edx_2
8049336!mov ebp, edx!RR_edx_2!WR_ebp_2
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_2!WR_edx_bfec3bfc
804933a!movzx ecx, byte ptr [edx]!RM_bfec3bfc_1_3b!RR_edx_bfec3bfc!WR_ecx_3b
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_c9!RR_cl_3b_esp_bfec3bb8!WM_bfec3bbb_1_4
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_4!RR_esp_bfec3bb8!WR_edi_4
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_4!WR_edi_bfec3bfe
8049348!movzx eax, byte ptr [edi]!RM_bfec3bfe_1_45!RR_edi_bfec3bfe!WR_eax_45
804934b!mov byte ptr [edx], al!RR_al_45_edx_bfec3bfc!WM_bfec3bfc_1_45
804934d!mov byte ptr [edi], cl!RR_cl_3b_edi_bfec3bfe!WM_bfec3bfe_1_3b
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_1!RR_esp_bfec3bb8!WR_edi_1
8049353!add cl, byte ptr [edx]!RM_bfec3bfc_1_45!RR_cl_3b_edx_bfec3bfc!WR_cl_80
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_1!RR_esp_bfec3bb8!WM_bfec3bb8_2_2
804935a!movzx ecx, cl!RR_cl_80!WR_ecx_80
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c7a_1_9d!RR_ebx_bfec3bfa_ecx_80!WR_edx_9d
8049361!xor byte ptr [esi+edi*1], dl!RM_90b003d_1_75!RR_dl_9d_esi_90b003c_edi_1!WM_90b003d_1_e8
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_2!RR_esp_bfec3bb8!WR_edx_2
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_2_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_2!WR_edx_3
8049333!movzx edx, dl!RR_dl_3!WR_edx_3
8049336!mov ebp, edx!RR_edx_3!WR_ebp_3
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_3!WR_edx_bfec3bfd
804933a!movzx ecx, byte ptr [edx]!RM_bfec3bfd_1_e0!RR_edx_bfec3bfd!WR_ecx_e0
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_4!RR_cl_e0_esp_bfec3bb8!WM_bfec3bbb_1_e4
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_e4!RR_esp_bfec3bb8!WR_edi_e4
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_e4!WR_edi_bfec3cde
8049348!movzx eax, byte ptr [edi]!RM_bfec3cde_1_b2!RR_edi_bfec3cde!WR_eax_b2
804934b!mov byte ptr [edx], al!RR_al_b2_edx_bfec3bfd!WM_bfec3bfd_1_b2
804934d!mov byte ptr [edi], cl!RR_cl_e0_edi_bfec3cde!WM_bfec3cde_1_e0
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_2!RR_esp_bfec3bb8!WR_edi_2
8049353!add cl, byte ptr [edx]!RM_bfec3bfd_1_b2!RR_cl_e0_edx_bfec3bfd!WR_cl_92
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_2!RR_esp_bfec3bb8!WM_bfec3bb8_2_3
804935a!movzx ecx, cl!RR_cl_92!WR_ecx_92
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c8c_1_22!RR_ebx_bfec3bfa_ecx_92!WR_edx_22
8049361!xor byte ptr [esi+edi*1], dl!RM_90b003e_1_70!RR_dl_22_esi_90b003c_edi_2!WM_90b003e_1_52
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_3!RR_esp_bfec3bb8!WR_edx_3
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_3_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_3!WR_edx_4
8049333!movzx edx, dl!RR_dl_4!WR_edx_4
8049336!mov ebp, edx!RR_edx_4!WR_ebp_4
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_4!WR_edx_bfec3bfe
804933a!movzx ecx, byte ptr [edx]!RM_bfec3bfe_1_3b!RR_edx_bfec3bfe!WR_ecx_3b
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_e4!RR_cl_3b_esp_bfec3bb8!WM_bfec3bbb_1_1f
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_1f!RR_esp_bfec3bb8!WR_edi_1f
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_1f!WR_edi_bfec3c19
8049348!movzx eax, byte ptr [edi]!RM_bfec3c19_1_38!RR_edi_bfec3c19!WR_eax_38
804934b!mov byte ptr [edx], al!RR_al_38_edx_bfec3bfe!WM_bfec3bfe_1_38
804934d!mov byte ptr [edi], cl!RR_cl_3b_edi_bfec3c19!WM_bfec3c19_1_3b
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_3!RR_esp_bfec3bb8!WR_edi_3
8049353!add cl, byte ptr [edx]!RM_bfec3bfe_1_38!RR_cl_3b_edx_bfec3bfe!WR_cl_73
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_3!RR_esp_bfec3bb8!WM_bfec3bb8_2_4
804935a!movzx ecx, cl!RR_cl_73!WR_ecx_73
804935d!movzx edx, byte ptr [ebx+ecx*1]!RM_bfec3c6d_1_94!RR_ebx_bfec3bfa_ecx_73!WR_edx_94
8049361!xor byte ptr [esi+edi*1], dl!RM_90b003f_1_65!RR_dl_94_esi_90b003c_edi_3!WM_90b003f_1_f1
8049364!movsx edx, word ptr [esp]!RM_bfec3bb8_2_4!RR_esp_bfec3bb8!WR_edx_4
8049368!cmp edx, dword ptr [esp+0x1c]!RM_bfec3bd4_4_21!RR_edx_4_esp_bfec3bb8
804936c!jl 0x8049330
8049330!lea edx, ptr [ebp+0x1]!RR_ebp_4!WR_edx_5
8049333!movzx edx, dl!RR_dl_5!WR_edx_5
8049336!mov ebp, edx!RR_edx_5!WR_ebp_5
8049338!add edx, ebx!RR_ebx_bfec3bfa_edx_5!WR_edx_bfec3bff
804933a!movzx ecx, byte ptr [edx]!RM_bfec3bff_1_3a!RR_edx_bfec3bff!WR_ecx_3a
804933d!add byte ptr [esp+0x3], cl!RM_bfec3bbb_1_1f!RR_cl_3a_esp_bfec3bb8!WM_bfec3bbb_1_59
8049341!movzx edi, byte ptr [esp+0x3]!RM_bfec3bbb_1_59!RR_esp_bfec3bb8!WR_edi_59
8049346!add edi, ebx!RR_ebx_bfec3bfa_edi_59!WR_edi_bfec3c53
8049348!movzx eax, byte ptr [edi]!RM_bfec3c53_1_32!RR_edi_bfec3c53!WR_eax_32
804934b!mov byte ptr [edx], al!RR_al_32_edx_bfec3bff!WM_bfec3bff_1_32
804934d!mov byte ptr [edi], cl!RR_cl_3a_edi_bfec3c53!WM_bfec3c53_1_3a
804934f!movsx edi, word ptr [esp]!RM_bfec3bb8_2_4!RR_esp_bfec3bb8!WR_edi_4
8049353!add cl, byte ptr [edx]!RM_bfec3bff_1_32!RR_cl_3a_edx_bfec3bff!WR_cl_6c
8049355!add word ptr [esp], 0x1!RM_bfec3bb8_2_4!RR_esp_bfec3bb8!WM_bfec3bb8_2_5
804935a!movzx ecx, cl!RR_cl_6c!WR_ecx_6c
