!SOT
8049074!push ebp!RR_ebp_bfd65198_esp_bfd6505c!WM_bfd65058_4_bfd65198!WR_esp_bfd65058
8049075!push edi!RR_esp_bfd65058_edi_0!WM_bfd65054_4_0!WR_esp_bfd65054
8049076!push esi!RR_esp_bfd65054_esi_0!WM_bfd65050_4_0!WR_esp_bfd65050
8049077!push ebx!RR_ebx_bfd6508a_esp_bfd65050!WM_bfd6504c_4_bfd6508a!WR_esp_bfd6504c
8049078!sub esp, 0x4!RR_esp_bfd6504c!WR_esp_bfd65048
804907b!mov ebp, dword ptr [esp+0x18]!RM_bfd65060_4_8d8703c!RR_esp_bfd65048!WR_ebp_8d8703c
804907f!mov eax, dword ptr [esp+0x20]!RM_bfd65068_4_bfd6508a!RR_esp_bfd65048!WR_eax_bfd6508a
8049083!movzx edi, byte ptr [eax+0x100]!RM_bfd6518a_1_0!RR_eax_bfd6508a!WR_edi_0
804908a!movzx eax, byte ptr [eax+0x101]!RM_bfd6518b_1_0!RR_eax_bfd6508a!WR_eax_0
8049091!mov byte ptr [esp+0x3], al!RR_al_0_esp_bfd65048!WM_bfd6504b_1_0
8049095!mov ebx, dword ptr [esp+0x20]!RM_bfd65068_4_bfd6508a!RR_esp_bfd65048!WR_ebx_bfd6508a
8049099!cmp dword ptr [esp+0x1c], 0x0!RM_bfd65064_4_21!RR_esp_bfd65048
804909e!jle 0x80490e8
80490a0!mov eax, 0x0!WR_eax_0
80490a5!mov word ptr [esp], ax!RR_ax_0_esp_bfd65048!WM_bfd65048_2_0
80490a9!lea edx, ptr [edi+0x1]!RR_edi_0!WR_edx_1
80490ac!movzx edx, dl!RR_dl_1!WR_edx_1
80490af!mov edi, edx!RR_edx_1!WR_edi_1
80490b1!add edx, ebx!RR_ebx_bfd6508a_edx_1!WR_edx_bfd6508b
80490b3!movzx ecx, byte ptr [edx]!RM_bfd6508b_1_c9!RR_edx_bfd6508b!WR_ecx_c9
80490b6!add byte ptr [esp+0x3], cl!RM_bfd6504b_1_0!RR_cl_c9_esp_bfd65048!WM_bfd6504b_1_c9
