!SOT
8048751!push ebp!RR_ebp_bf89a4e8_esp_bf89a4ac!WM_bf89a4a8_4_bf89a4e8!WR_esp_bf89a4a8
8048752!mov ebp, esp!RR_esp_bf89a4a8!WR_ebp_bf89a4a8
8048754!sub esp, 0x30!RR_esp_bf89a4a8!WR_esp_bf89a478
8048757!mov eax, dword ptr [ebp+0x8]!RM_bf89a4b0_4_bf89a4d8!RR_ebp_bf89a4a8!WR_eax_bf89a4d8
804875a!mov eax, dword ptr [eax]!RM_bf89a4d8_4_1234567!RR_eax_bf89a4d8!WR_eax_1234567
804875c!mov dword ptr [ebp-0x24], eax!RR_eax_1234567_ebp_bf89a4a8!WM_bf89a484_4_1234567
804875f!mov eax, dword ptr [ebp+0x8]!RM_bf89a4b0_4_bf89a4d8!RR_ebp_bf89a4a8!WR_eax_bf89a4d8
8048762!mov eax, dword ptr [eax+0x4]!RM_bf89a4dc_4_89abcdef!RR_eax_bf89a4d8!WR_eax_89abcdef
8048765!mov dword ptr [ebp-0x20], eax!RR_eax_89abcdef_ebp_bf89a4a8!WM_bf89a488_4_89abcdef
8048768!mov dword ptr [ebp-0x1c], 0xc6ef3720!RR_ebp_bf89a4a8!WM_bf89a48c_4_c6ef3720
804876f!mov dword ptr [ebp-0x14], 0x9e3779b9!RR_ebp_bf89a4a8!WM_bf89a494_4_9e3779b9
8048776!mov eax, dword ptr [ebp+0xc]!RM_bf89a4b4_4_bf89a4c8!RR_ebp_bf89a4a8!WR_eax_bf89a4c8
8048779!mov eax, dword ptr [eax]!RM_bf89a4c8_4_deadbee1!RR_eax_bf89a4c8!WR_eax_deadbee1
804877b!mov dword ptr [ebp-0x10], eax!RR_eax_deadbee1_ebp_bf89a4a8!WM_bf89a498_4_deadbee1
804877e!mov eax, dword ptr [ebp+0xc]!RM_bf89a4b4_4_bf89a4c8!RR_ebp_bf89a4a8!WR_eax_bf89a4c8
8048781!mov eax, dword ptr [eax+0x4]!RM_bf89a4cc_4_deadbee2!RR_eax_bf89a4c8!WR_eax_deadbee2
8048784!mov dword ptr [ebp-0xc], eax!RR_eax_deadbee2_ebp_bf89a4a8!WM_bf89a49c_4_deadbee2
8048787!mov eax, dword ptr [ebp+0xc]!RM_bf89a4b4_4_bf89a4c8!RR_ebp_bf89a4a8!WR_eax_bf89a4c8
804878a!mov eax, dword ptr [eax+0x8]!RM_bf89a4d0_4_deadbee3!RR_eax_bf89a4c8!WR_eax_deadbee3
804878d!mov dword ptr [ebp-0x8], eax!RR_eax_deadbee3_ebp_bf89a4a8!WM_bf89a4a0_4_deadbee3
8048790!mov eax, dword ptr [ebp+0xc]!RM_bf89a4b4_4_bf89a4c8!RR_ebp_bf89a4a8!WR_eax_bf89a4c8
8048793!mov eax, dword ptr [eax+0xc]!RM_bf89a4d4_4_deadbee4!RR_eax_bf89a4c8!WR_eax_deadbee4
8048796!mov dword ptr [ebp-0x4], eax!RR_eax_deadbee4_ebp_bf89a4a8!WM_bf89a4a4_4_deadbee4
8048799!mov dword ptr [ebp-0x18], 0x0!RR_ebp_bf89a4a8!WM_bf89a490_4_0
80487a0!jmp 0x80487ee
80487ee!cmp dword ptr [ebp-0x18], 0x1f!RM_bf89a490_4_0!RR_ebp_bf89a4a8
80487f2!setbe al!WR_al_1
80487f5!test al, al!RR_al_1
80487f7!jnz 0x80487a2
80487a2!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_1234567!RR_ebp_bf89a4a8!WR_eax_1234567
80487a5!shl eax, 0x4!RR_eax_1234567!WR_eax_12345670
80487a8!add eax, dword ptr [ebp-0x8]!RM_bf89a4a0_4_deadbee3!RR_eax_12345670_ebp_bf89a4a8!WR_eax_f0e21553
80487ab!mov edx, dword ptr [ebp-0x1c]!RM_bf89a48c_4_c6ef3720!RR_ebp_bf89a4a8!WR_edx_c6ef3720
80487ae!mov ecx, dword ptr [ebp-0x24]!RM_bf89a484_4_1234567!RR_ebp_bf89a4a8!WR_ecx_1234567
80487b1!add edx, ecx!RR_ecx_1234567_edx_c6ef3720!WR_edx_c8127c87
80487b3!xor edx, eax!RR_eax_f0e21553_edx_c8127c87!WR_edx_38f069d4
80487b5!mov eax, dword ptr [ebp-0x24]!RM_bf89a484_4_1234567!RR_ebp_bf89a4a8!WR_eax_1234567
80487b8!shr eax, 0x5!RR_eax_1234567!WR_eax_91a2b
80487bb!add eax, dword ptr [ebp-0x4]!RM_bf89a4a4_4_deadbee4!RR_eax_91a2b_ebp_bf89a4a8!WR_eax_deb6d90f
80487be!xor eax, edx!RR_eax_deb6d90f_edx_38f069d4!WR_eax_e646b0db
80487c0!sub dword ptr [ebp-0x20], eax!RM_bf89a488_4_89abcdef!RR_eax_e646b0db_ebp_bf89a4a8!WM_bf89a488_4_a3651d14
